city,state_code,race,count
BOSSIER CITY,LA,White,47454
BOSSIER CITY,LA,American Indian and Alaska Native,630
WOODBURY,MN,Asian,7758
BOSTON,MA,White,378543
FORT COLLINS,CO,Hispanic or Latino,15521
ATASCOCITA,TX,Black or African-American,21491
PITTSBURG,CA,Asian,13981
PITTSBURG,CA,American Indian and Alaska Native,2253
SAN RAMON,CA,American Indian and Alaska Native,609
ARLINGTON HEIGHTS,IL,Black or African-American,1222
RENO,NV,American Indian and Alaska Native,3872
JONESBORO,AR,White,56626
EL MONTE,CA,White,64138
TOPEKA,KS,Hispanic or Latino,18640
NEWPORT NEWS,VA,Hispanic or Latino,15780
MELBOURNE,FL,White,65397
POINCIANA,FL,Black or African-American,24750
WESTON,FL,Asian,4130
MIAMI GARDENS,FL,Hispanic or Latino,23287
TRENTON,NJ,American Indian and Alaska Native,98
NORTH LITTLE ROCK,AR,American Indian and Alaska Native,713
COMPTON,CA,Asian,1732
JURUPA VALLEY,CA,Hispanic or Latino,66525
ATLANTA,GA,Hispanic or Latino,18653
