id,coc,cor,port_code,age,visa_issued_in,occup,biryear,gender,airline,admnum,fltno,visatype,arrival_dt,departure_dt,added_to_i94,allowed_until,arrival_mode,visit_purpose
5698832,135,135,LOS,41,"","",1975,"",SK,2147483647,00939,WB,2016-04-30,2016-05-01,2016-04-30,2016-07-28,Air,Business
5703571,135,135,SEA,28,"","",1988,M,BA,2147483647,00049,WB,2016-04-30,2016-05-08,2016-04-30,2016-07-28,Air,Business
4554096,268,268,ORL,50,TAI,"",1966,M,BR,2147483647,00026,E1,2016-04-24,2016-09-11,2016-04-24,2018-04-23,Air,Business
5717689,164,164,SFR,30,SAR,"",1986,M,LH,2147483647,00458,B1,2016-04-30,2016-07-03,2016-04-30,2016-10-29,Air,Business
4600961,576,576,MIA,36,SNS,"",1980,F,UA,2147483647,01468,B1,2016-04-24,2016-04-29,2016-04-24,2016-10-23,Air,Business
5730766,213,213,ATL,29,"","",1987,"",BA,2147483647,00227,B1,2016-04-30,2016-05-01,2016-04-30,2016-10-29,Air,Business
5730861,213,213,DAL,40,"","",1976,"",AA,2147483647,00079,B1,2016-04-30,2016-05-09,2016-04-30,2016-10-29,Air,Business
5730862,213,213,DAL,31,"","",1985,"",AA,2147483647,00079,B1,2016-04-30,2016-05-28,2016-04-30,2016-10-29,Air,Business
5734201,213,213,PHO,28,HYD,"",1988,M,BA,2147483647,00289,B1,2016-04-30,2016-06-04,2016-04-30,2016-10-29,Air,Business
5736703,213,213,LOS,53,NWD,"",1963,M,LH,2147483647,00456,B1,2016-04-30,2016-05-12,2016-04-30,2016-10-29,Air,Business
5736999,213,213,SEA,41,NWD,"",1975,M,EK,2147483647,00229,B1,2016-04-30,2016-05-07,2016-04-30,2016-10-29,Air,Business
4665116,694,694,ATL,43,LMA,"",1973,M,DL,2147483647,00150,B1,2016-04-24,2016-04-30,2016-04-24,2016-10-23,Air,Business
4665117,694,694,ATL,35,LMA,"",1981,M,DL,2147483647,00150,B1,2016-04-24,2016-05-01,2016-04-24,2016-10-23,Air,Business
4665118,694,694,ATL,27,LMA,"",1989,F,DL,2147483647,00150,B1,2016-04-24,2016-05-01,2016-04-24,2016-10-23,Air,Business
4669752,104,104,SEA,41,"","",1975,"",LH,2147483647,00490,WB,2016-04-25,2016-04-29,2016-04-25,2016-07-23,Air,Business
4682435,117,117,SEA,41,MLN,"",1975,M,DL,2147483647,00033,I,2016-04-25,2016-05-05,2016-04-25,"",Air,Business
4689112,126,214,ANC,50,"","",1966,M,*GA,884416685,BMAG,B1,2016-04-25,"",2016-04-25,2016-10-24,Air,Business
4696826,135,135,DAL,50,"","",1966,M,AA,2147483647,02609,WB,2016-04-25,2016-04-28,2016-04-25,2016-07-23,Air,Business
2737203,245,245,ORL,40,SHG,"",1976,M,DL,2147483647,00582,B1,2016-04-15,2016-04-23,2016-04-15,2016-10-14,Air,Business
4721688,209,209,SEA,60,"","",1956,M,NH,2147483647,00178,WB,2016-04-25,2016-04-29,2016-04-25,2016-07-23,Air,Business
4721689,209,209,SEA,25,"","",1991,M,DL,2147483647,00166,WB,2016-04-25,2016-05-16,2016-04-25,2016-07-23,Air,Business
4721691,209,209,SEA,55,"","",1961,"",NH,2147483647,00178,WB,2016-04-25,2016-04-29,2016-04-25,2016-07-23,Air,Business
4732520,245,245,ANC,35,GUZ,"",1981,M,*GA,2147483647,B8081,B1,2016-04-25,2016-05-16,2016-04-25,2016-10-24,Air,Business
4733258,245,245,LOS,39,GUZ,"",1977,F,MU,2147483647,00583,B1,2016-04-25,2016-04-30,2016-04-25,2016-10-24,Air,Business
2752504,373,373,MIA,42,"","",1974,"",DL,2147483647,00201,B1,2016-04-15,2016-04-19,2016-04-15,2016-10-14,Air,Business
4734821,245,245,ANC,34,SHG,"",1982,M,*GA,2147483647,B8081,B1,2016-04-25,2016-04-28,2016-04-25,2016-10-24,Air,Business
4734822,245,245,ANC,36,SHG,"",1980,M,*GA,2147483647,B8081,B1,2016-04-25,2016-05-16,2016-04-25,2016-10-24,Air,Business
4751539,438,438,LOS,40,"","",1976,"",QF,2147483647,00093,WB,2016-04-25,2016-05-12,2016-04-25,2016-07-23,Air,Business
4753765,464,214,ANC,36,"","",1980,M,*GA,884417585,BMAG,B1,2016-04-25,2016-04-26,2016-04-25,2016-10-24,Air,Business
2867739,691,691,MIA,30,LND,"",1986,M,AA,2147483647,01481,B1,2016-04-15,2016-04-24,2016-04-15,2016-10-14,Air,Business
2884950,111,111,SFR,32,"","",1984,M,AF,2147483647,00084,WB,2016-04-16,2016-04-22,2016-04-16,2016-07-14,Air,Business
2890912,117,117,SEA,36,"","",1980,"",DL,2147483647,00033,WB,2016-04-16,2016-04-22,2016-04-16,2016-07-14,Air,Business
2900818,131,140,SEA,45,"","",1971,M,LH,2147483647,00490,WB,2016-04-16,2016-04-22,2016-04-16,2016-07-14,Air,Business
4880579,135,135,SEA,47,LND,"",1969,M,BA,2147483647,00049,B1,2016-04-26,2016-05-26,2016-04-26,2016-10-25,Air,Business
4895087,209,209,SEA,37,"","",1979,"",NH,2147483647,00178,WB,2016-04-26,2016-04-29,2016-04-26,2016-07-24,Air,Business
4895090,209,209,SFR,69,"","",1947,"",DL,2147483647,00166,WB,2016-04-26,2016-05-13,2016-04-26,2016-07-24,Air,Business
4896324,209,209,OGG,35,TKY,"",1981,M,NH,2147483647,00178,B1,2016-04-26,2016-04-29,2016-04-26,2016-10-25,Air,Business
4896325,209,209,OGG,41,TKY,"",1975,M,DL,2147483647,00166,B1,2016-04-26,2016-05-13,2016-04-26,2016-10-25,Air,Business
4899309,213,213,SFR,45,DUB,"",1971,M,QR,2147483647,00725,B1,2016-04-26,2016-05-07,2016-04-26,2016-10-25,Air,Business
4903493,245,245,SRQ,51,"","",1965,"",DL,2147483647,00582,B1,2016-04-26,2016-05-22,2016-04-26,2016-10-25,Air,Business
4903494,245,245,TAM,49,"","",1967,"",DL,2147483647,00582,B1,2016-04-26,2016-05-22,2016-04-26,2016-10-25,Air,Business
2930931,213,213,PHO,34,MDR,"",1982,M,BA,2147483647,00049,B1,2016-04-16,2016-04-23,2016-04-16,2016-10-15,Air,Business
2938323,245,245,NYC,48,SHG,"",1968,M,DL,2147483647,00582,B1,2016-04-16,2016-04-21,2016-04-16,2016-05-15,Air,Business
2947841,263,263,PSP,41,"","",1975,"",KE,2147483647,00035,B1,2016-04-16,2016-04-30,2016-04-16,2016-10-15,Air,Business
2947842,263,263,PSP,40,"","",1976,"",KE,2147483647,00035,B1,2016-04-16,2016-04-30,2016-04-16,2016-10-15,Air,Business
2947843,263,263,PSP,39,"","",1977,"",KE,2147483647,00035,B1,2016-04-16,2016-04-30,2016-04-16,2016-10-15,Air,Business
2947844,263,263,PSP,38,"","",1978,"",KE,2147483647,00035,B1,2016-04-16,2016-04-30,2016-04-16,2016-10-15,Air,Business
2947845,263,263,PSP,32,"","",1984,"",KE,2147483647,00035,B1,2016-04-16,2016-04-30,2016-04-16,2016-10-15,Air,Business
991063,111,111,LOS,41,"","",1975,"",AA,2147483647,00954,WB,2016-04-06,2016-04-30,2016-04-06,2016-07-04,Air,Business
3095259,111,111,SEA,46,"","",1970,M,DL,2147483647,00033,WB,2016-04-17,2016-04-22,2016-04-17,2016-07-15,Air,Business
3099963,116,116,HHW,52,LND,"",1964,M,AA,812532585,87,I,2016-04-17,2016-04-26,2016-04-17,"",Air,Business
3107389,124,124,SEA,50,"","",1966,M,LH,2147483647,00490,WB,2016-04-17,2016-04-25,2016-04-17,2016-07-15,Air,Business
3107390,124,124,CHI,54,"","",1962,"",LH,2147483647,00490,WB,2016-04-17,2016-04-22,2016-04-17,2016-07-15,Air,Business
3107391,124,124,SEA,56,"","",1960,"",LH,2147483647,00490,WB,2016-04-17,2016-04-22,2016-04-17,2016-07-15,Air,Business
1030041,213,213,SEA,43,"","",1973,M,DL,692627085,33,B1,2016-04-06,2016-04-28,2016-04-06,2016-10-05,Air,Business
1032748,213,213,SDP,36,MDR,"",1980,F,BA,2147483647,00273,B1,2016-04-06,2016-05-14,2016-04-06,2016-10-05,Air,Business
3125868,135,135,SPM,42,"","",1974,"",DL,2147483647,00163,WB,2016-04-17,2016-04-24,2016-04-17,2016-07-15,Air,Business
3126041,135,135,CHI,61,"","",1955,M,BA,2147483647,00295,WB,2016-04-17,2016-04-26,2016-04-17,2016-07-15,Air,Business
3126997,135,135,SEA,50,"","",1966,"",BA,2147483647,00053,WB,2016-04-17,2016-04-23,2016-04-17,2016-07-15,Air,Business
3129056,135,245,SEA,38,"","",1978,F,DL,2147483647,00588,WB,2016-04-17,2016-04-20,2016-04-17,2016-07-15,Air,Business
1161560,111,111,SEA,32,"","",1984,M,BA,2147483647,00049,WB,2016-04-07,2016-04-23,2016-04-07,2016-07-05,Air,Business
1205373,209,209,KAN,49,"","",1967,M,NH,2147483647,00178,WB,2016-04-07,2016-04-16,2016-04-07,2016-07-05,Air,Business
1215495,245,245,SFR,53,SHG,"",1963,M,AA,2147483647,00288,B1,2016-04-07,2016-04-11,2016-04-07,2016-10-06,Air,Business
543,103,103,SEA,36,"","",1980,"",LH,2147483647,00490,WB,2016-04-01,2016-04-12,2016-04-01,2016-06-29,Air,Business
2426,107,107,OGG,41,KRK,"",1975,M,UA,2147483647,00953,B1,2016-04-01,2016-04-11,2016-04-01,2016-09-30,Air,Business
45178,135,135,SEA,51,"","",1965,"",DL,2147483647,00128,WB,2016-04-01,2016-04-16,2016-04-01,2016-06-29,Air,Business
61321,213,213,DAL,30,"","",1986,"",AA,2147483647,00079,B1,2016-04-01,2016-04-10,2016-04-01,2016-09-30,Air,Business
211817,691,691,ATL,43,BGT,"",1973,M,DL,2147483647,00980,B1,2016-04-01,2016-04-05,2016-04-01,2016-09-30,Air,Business
230065,111,111,SPM,61,"","",1955,M,DL,2147483647,00170,WB,2016-04-02,2016-04-09,2016-04-02,2016-06-30,Air,Business
261775,135,135,NYC,32,"","",1984,M,BA,2147483647,00053,WB,2016-04-02,2016-04-07,2016-04-02,2016-06-30,Air,Business
303524,268,268,SEA,46,TAI,TTE,1970,M,BR,2147483647,00026,E1,2016-04-02,2016-08-24,2016-04-02,2018-04-01,Air,Business
431689,743,135,MIA,29,LND,"",1987,M,DL,2147483647,00195,B1,2016-04-02,2016-04-09,2016-04-02,2016-05-02,Air,Business
459492,135,135,ATL,57,"","",1959,"",DL,2147483647,00031,B1,2016-04-03,2016-04-04,2016-04-03,2016-10-02,Air,Business
459493,135,135,ATL,42,"","",1974,"",DL,2147483647,00029,WB,2016-04-03,2016-04-10,2016-04-03,2016-07-01,Air,Business
1393936,209,209,ATL,59,"","",1957,M,BA,2147483647,00227,WB,2016-04-08,2016-04-12,2016-04-08,2016-07-06,Air,Business
1406340,245,245,DET,34,"","",1982,"",DL,2147483647,00582,B1,2016-04-08,2016-04-30,2016-04-08,2016-10-07,Air,Business
